O/F, Pc (psia), Isp (s), Tc (R), Tt (R), Te (R), MW (lb/lbmol), gamma
4.50, 500, 302.84, 5676.28, 5317.64, 5317.64, 25.6644, 1.1579
4.50, 550, 302.87, 5689.60, 5327.13, 5327.13, 25.6770, 1.1589
4.50, 600, 302.91, 5701.67, 5335.66, 5335.66, 25.6883, 1.1599
4.50, 650, 302.94, 5712.67, 5343.39, 5343.39, 25.6986, 1.1608
4.50, 700, 302.96, 5722.79, 5350.45, 5350.45, 25.7080, 1.1616
4.50, 750, 302.99, 5732.13, 5356.93, 5356.93, 25.7166, 1.1624
4.50, 800, 303.01, 5740.81, 5362.91, 5362.91, 25.7246, 1.1632
4.50, 850, 303.03, 5748.91, 5368.47, 5368.47, 25.7320, 1.1639
4.50, 900, 303.05, 5756.50, 5373.64, 5373.64, 25.7389, 1.1645
4.50, 950, 303.07, 5763.63, 5378.48, 5378.48, 25.7453, 1.1652
4.50, 1000, 303.08, 5770.35, 5383.01, 5383.01, 25.7514, 1.1658
4.60, 100, 302.79, 5447.05, 5152.10, 5152.10, 25.5450, 1.1395
4.60, 150, 303.03, 5510.73, 5202.73, 5202.73, 25.6116, 1.1429
4.60, 200, 303.19, 5555.27, 5237.61, 5237.61, 25.6576, 1.1455
4.60, 250, 303.31, 5589.38, 5264.01, 5264.01, 25.6924, 1.1475
4.60, 300, 303.40, 5616.94, 5285.12, 5285.12, 25.7203, 1.1493
4.60, 350, 303.47, 5640.00, 5302.62, 5302.62, 25.7435, 1.1507
4.60, 400, 303.53, 5659.80, 5317.52, 5317.52, 25.7632, 1.1520
4.60, 450, 303.58, 5677.11, 5330.44, 5330.44, 25.7803, 1.1532
4.60, 500, 303.63, 5692.46, 5341.84, 5341.84, 25.7954, 1.1543
4.60, 550, 303.67, 5706.25, 5351.99, 5351.99, 25.8089, 1.1552
4.60, 600, 303.71, 5718.74, 5361.14, 5361.14, 25.8211, 1.1561
4.60, 650, 303.74, 5730.15, 5369.45, 5369.45, 25.8321, 1.1570
4.60, 700, 303.77, 5740.65, 5377.06, 5377.06, 25.8422, 1.1577
4.60, 750, 303.80, 5750.37, 5384.05, 5384.05, 25.8515, 1.1585
4.60, 800, 303.82, 5759.39, 5390.53, 5390.53, 25.8601, 1.1592
4.60, 850, 303.84, 5767.83, 5396.54, 5396.54, 25.8682, 1.1598
4.60, 900, 303.87, 5775.73, 5402.16, 5402.16, 25.8756, 1.1604
4.60, 950, 303.89, 5783.17, 5407.41, 5407.41, 25.8826, 1.1610
4.60, 1000, 303.90, 5790.19, 5412.36, 5412.36, 25.8892, 1.1616
4.70, 100, 303.46, 5455.07, 5164.19, 5164.19, 25.6574, 1.1376
4.70, 150, 303.72, 5519.77, 5216.41, 5216.41, 25.7263, 1.1408
4.70, 200, 303.89, 5565.11, 5252.56, 5252.56, 25.7741, 1.1432
4.70, 250, 304.01, 5599.91, 5280.02, 5280.02, 25.8104, 1.1451
4.70, 300, 304.11, 5628.07, 5302.05, 5302.05, 25.8396, 1.1466
4.70, 350, 304.19, 5651.67, 5320.38, 5320.38, 25.8639, 1.1480
4.70, 400, 304.26, 5671.95, 5336.02, 5336.02, 25.8846, 1.1492
4.70, 450, 304.32, 5689.71, 5349.63, 5349.63, 25.9027, 1.1503
4.70, 500, 304.37, 5705.48, 5361.64, 5361.64, 25.9186, 1.1513
4.70, 550, 304.41, 5719.65, 5372.38, 5372.38, 25.9329, 1.1521
4.70, 600, 304.45, 5732.51, 5382.08, 5382.08, 25.9458, 1.1530
4.70, 650, 304.49, 5744.27, 5390.90, 5390.90, 25.9575, 1.1537
4.70, 700, 304.52, 5755.09, 5398.98, 5398.98, 25.9683, 1.1544
4.70, 750, 304.55, 5765.12, 5406.44, 5406.44, 25.9782, 1.1551
4.70, 800, 304.58, 5774.44, 5413.34, 5413.34, 25.9874, 1.1557
4.70, 850, 304.60, 5783.16, 5419.77, 5419.77, 25.9960, 1.1563
4.70, 900, 304.63, 5791.34, 5425.78, 5425.78, 26.0040, 1.1569
4.70, 950, 304.65, 5799.04, 5431.42, 5431.42, 26.0115, 1.1574
4.70, 1000, 304.67, 5806.31, 5436.72, 5436.72, 26.0186, 1.1579
4.80, 100, 304.06, 5461.24, 5173.67, 5173.67, 25.7641, 1.1361
4.80, 150, 304.34, 5526.75, 5227.19, 5227.19, 25.8349, 1.1391
4.80, 200, 304.53, 5572.75, 5264.38, 5264.38, 25.8842, 1.1413
4.80, 250, 304.66, 5608.10, 5292.72, 5292.72, 25.9218, 1.1431
4.80, 300, 304.77, 5636.75, 5315.53, 5315.53, 25.9521, 1.1445
4.80, 350, 304.86, 5660.79, 5334.54, 5334.54, 25.9774, 1.1458
4.80, 400, 304.93, 5681.47, 5350.80, 5350.80, 25.9990, 1.1469
4.80, 450, 304.99, 5699.59, 5364.98, 5364.98, 26.0179, 1.1479
4.80, 500, 305.05, 5715.71, 5377.53, 5377.53, 26.0346, 1.1488
4.80, 550, 305.10, 5730.20, 5388.76, 5388.76, 26.0495, 1.1496
4.80, 600, 305.14, 5743.36, 5398.92, 5398.92, 26.0631, 1.1503
4.80, 650, 305.18, 5755.40, 5408.18, 5408.18, 26.0754, 1.1510
4.80, 700, 305.22, 5766.50, 5416.68, 5416.68, 26.0867, 1.1517
4.80, 750, 305.25, 5776.78, 5424.52, 5424.52, 26.0972, 1.1523
4.80, 800, 305.28, 5786.35, 5431.80, 5431.80, 26.1069, 1.1529
4.80, 850, 305.31, 5795.31, 5438.59, 5438.59, 26.1160, 1.1534
4.80, 900, 305.33, 5803.71, 5444.94, 5444.94, 26.1244, 1.1539
4.80, 950, 305.36, 5811.63, 5450.91, 5450.91, 26.1324, 1.1544
4.80, 1000, 305.38, 5819.12, 5456.53, 5456.53, 26.1399, 1.1549
4.90, 100, 304.61, 5465.78, 5180.88, 5180.88, 25.8655, 1.1349
4.90, 150, 304.91, 5531.93, 5235.44, 5235.44, 25.9380, 1.1377
4.90, 200, 305.11, 5578.45, 5273.47, 5273.47, 25.9886, 1.1398
4.90, 250, 305.26, 5614.24, 5302.53, 5302.53, 26.0272, 1.1414
4.90, 300, 305.37, 5643.28, 5325.96, 5325.96, 26.0585, 1.1428
4.90, 350, 305.47, 5667.67, 5345.53, 5345.53, 26.0845, 1.1440
4.90, 400, 305.55, 5688.67, 5362.30, 5362.30, 26.1069, 1.1450
4.90, 450, 305.61, 5707.09, 5376.95, 5376.95, 26.1265, 1.1459
4.90, 500, 305.67, 5723.48, 5389.94, 5389.94, 26.1438, 1.1467
4.90, 550, 305.73, 5738.23, 5401.58, 5401.58, 26.1593, 1.1475
4.90, 600, 305.78, 5751.63, 5412.12, 5412.12, 26.1734, 1.1482
4.90, 650, 305.82, 5763.91, 5421.74, 5421.74, 26.1863, 1.1488
4.90, 700, 305.86, 5775.23, 5430.58, 5430.58, 26.1981, 1.1494
4.90, 750, 305.89, 5785.72, 5438.76, 5438.76, 26.2090, 1.1500
4.90, 800, 305.93, 5795.49, 5446.35, 5446.35, 26.2192, 1.1505
4.90, 850, 305.96, 5804.64, 5453.44, 5453.44, 26.2287, 1.1510
4.90, 900, 305.99, 5813.23, 5460.08, 5460.08, 26.2376, 1.1515
4.90, 950, 306.01, 5821.33, 5466.32, 5466.32, 26.2459, 1.1520
4.90, 1000, 306.04, 5828.99, 5472.21, 5472.21, 26.2538, 1.1524
5.00, 100, 305.11, 5468.92, 5186.13, 5186.13, 25.9620, 1.1339
5.00, 150, 305.42, 5535.54, 5241.50, 5241.50, 26.0359, 1.1366
5.00, 200, 305.64, 5582.45, 5280.19, 5280.19, 26.0875, 1.1386
5.00, 250, 305.80, 5618.59, 5309.80, 5309.80, 26.1271, 1.1401
5.00, 300, 305.92, 5647.93, 5333.73, 5333.73, 26.1591, 1.1414
5.00, 350, 306.02, 5672.59, 5353.75, 5353.75, 26.1859, 1.1425
5.00, 400, 306.11, 5693.84, 5370.93, 5370.93, 26.2088, 1.1435
5.00, 450, 306.18, 5712.49, 5385.95, 5385.95, 26.2290, 1.1443
5.00, 500, 306.25, 5729.10, 5399.29, 5399.29, 26.2468, 1.1451
5.00, 550, 306.30, 5744.05, 5411.26, 5411.26, 26.2629, 1.1458
5.00, 600, 306.36, 5757.65, 5422.11, 5422.11, 26.2774, 1.1465
5.00, 650, 306.40, 5770.10, 5432.02, 5432.02, 26.2907, 1.1471
5.00, 700, 306.44, 5781.59, 5441.14, 5441.14, 26.3029, 1.1476
5.00, 750, 306.48, 5792.25, 5449.58, 5449.58, 26.3142, 1.1481
5.00, 800, 306.52, 5802.19, 5457.43, 5457.43, 26.3248, 1.1486
5.00, 850, 306.55, 5811.49, 5464.77, 5464.77, 26.3346, 1.1491
5.00, 900, 306.58, 5820.23, 5471.64, 5471.64, 26.3438, 1.1495
5.00, 950, 306.61, 5828.47, 5478.11, 5478.11, 26.3525, 1.1500
5.00, 1000, 306.64, 5836.26, 5484.22, 5484.22, 26.3607, 1.1504
5.10, 100, 305.54, 5470.81, 5189.68, 5189.68, 26.0541, 1.1332
5.10, 150, 305.88, 5537.78, 5245.66, 5245.66, 26.1290, 1.1358
5.10, 200, 306.11, 5584.98, 5284.84, 5284.84, 26.1815, 1.1377
5.10, 250, 306.28, 5621.36, 5314.88, 5314.88, 26.2218, 1.1391
5.10, 300, 306.41, 5650.93, 5339.19, 5339.19, 26.2544, 1.1404
5.10, 350, 306.52, 5675.79, 5359.55, 5359.55, 26.2818, 1.1414
5.10, 400, 306.61, 5697.23, 5377.04, 5377.04, 26.3053, 1.1423
5.10, 450, 306.69, 5716.05, 5392.36, 5392.36, 26.3259, 1.1431
5.10, 500, 306.76, 5732.82, 5405.96, 5405.96, 26.3441, 1.1438
5.10, 550, 306.83, 5747.93, 5418.19, 5418.19, 26.3606, 1.1445
5.10, 600, 306.88, 5761.67, 5429.28, 5429.28, 26.3755, 1.1451
5.10, 650, 306.93, 5774.27, 5439.43, 5439.43, 26.3892, 1.1457
5.10, 700, 306.98, 5785.89, 5448.77, 5448.77, 26.4017, 1.1462
5.10, 750, 307.02, 5796.68, 5457.42, 5457.42, 26.4134, 1.1467
5.10, 800, 307.06, 5806.73, 5465.47, 5465.47, 26.4242, 1.1472
5.10, 850, 307.09, 5816.15, 5472.99, 5472.99, 26.4343, 1.1476
5.10, 900, 307.13, 5825.01, 5480.05, 5480.05, 26.4439, 1.1480
5.10, 950, 307.16, 5833.36, 5486.71, 5486.71, 26.4528, 1.1484
5.10, 1000, 307.19, 5841.26, 5492.99, 5492.99, 26.4613, 1.1488
5.20, 100, 305.92, 5471.61, 5191.74, 5191.74, 26.1420, 1.1327
5.20, 150, 306.28, 5538.81, 5248.15, 5248.15, 26.2178, 1.1352
5.20, 200, 306.53, 5586.20, 5287.69, 5287.69, 26.2710, 1.1370
5.20, 250, 306.71, 5622.76, 5318.05, 5318.05, 26.3118, 1.1384
5.20, 300, 306.85, 5652.48, 5342.63, 5342.63, 26.3449, 1.1395
5.20, 350, 306.97, 5677.49, 5363.25, 5363.25, 26.3727, 1.1405
5.20, 400, 307.07, 5699.06, 5380.97, 5380.97, 26.3966, 1.1414
5.20, 450, 307.15, 5718.01, 5396.51, 5396.51, 26.4176, 1.1422
5.20, 500, 307.23, 5734.89, 5410.31, 5410.31, 26.4362, 1.1429
5.20, 550, 307.29, 5750.11, 5422.73, 5422.73, 26.4530, 1.1435
5.20, 600, 307.35, 5763.96, 5434.00, 5434.00, 26.4682, 1.1441
5.20, 650, 307.41, 5776.66, 5444.32, 5444.32, 26.4822, 1.1446
5.20, 700, 307.46, 5788.38, 5453.83, 5453.83, 26.4950, 1.1451
5.20, 750, 307.50, 5799.25, 5462.63, 5462.63, 26.5069, 1.1456
5.20, 800, 307.54, 5809.40, 5470.83, 5470.83, 26.5180, 1.1460
5.20, 850, 307.58, 5818.90, 5478.50, 5478.50, 26.5284, 1.1464
5.20, 900, 307.62, 5827.84, 5485.71, 5485.71, 26.5381, 1.1468
5.20, 950, 307.65, 5836.27, 5492.49, 5492.49, 26.5473, 1.1472
5.20, 1000, 307.68, 5844.25, 5498.91, 5498.91, 26.5559, 1.1475
5.30, 100, 306.24, 5471.45, 5192.51, 5192.51, 26.2260, 1.1322
5.30, 150, 306.63, 5538.78, 5249.21, 5249.21, 26.3025, 1.1347
5.30, 200, 306.88, 5586.29, 5288.99, 5288.99, 26.3562, 1.1364
5.30, 250, 307.08, 5622.95, 5319.55, 5319.55, 26.3975, 1.1378
5.30, 300, 307.23, 5652.76, 5344.32, 5344.32, 26.4310, 1.1390
5.30, 350, 307.35, 5677.86, 5365.11, 5365.11, 26.4591, 1.1399
5.30, 400, 307.46, 5699.52, 5383.00, 5383.00, 26.4833, 1.1408
5.30, 450, 307.55, 5718.55, 5398.68, 5398.68, 26.5046, 1.1415
5.30, 500, 307.63, 5735.51, 5412.63, 5412.63, 26.5235, 1.1422
5.30, 550, 307.70, 5750.80, 5425.18, 5425.18, 26.5405, 1.1428
5.30, 600, 307.76, 5764.72, 5436.59, 5436.59, 26.5560, 1.1433
5.30, 650, 307.82, 5777.48, 5447.02, 5447.02, 26.5701, 1.1439
5.30, 700, 307.88, 5789.27, 5456.65, 5456.65, 26.5832, 1.1443
5.30, 750, 307.92, 5800.21, 5465.56, 5465.56, 26.5953, 1.1448
5.30, 800, 307.97, 5810.41, 5473.87, 5473.87, 26.6066, 1.1452
5.30, 850, 308.01, 5819.97, 5481.65, 5481.65, 26.6171, 1.1456
5.30, 900, 308.05, 5828.97, 5488.95, 5488.95, 26.6270, 1.1460
5.30, 950, 308.09, 5837.46, 5495.84, 5495.84, 26.6364, 1.1463
5.30, 1000, 308.12, 5845.49, 5502.34, 5502.34, 26.6452, 1.1466
5.40, 100, 306.50, 5470.44, 5192.15, 5192.15, 26.3065, 1.1320
5.40, 150, 306.90, 5537.81, 5249.00, 5249.00, 26.3834, 1.1344
5.40, 200, 307.18, 5585.37, 5288.92, 5288.92, 26.4375, 1.1361
5.40, 250, 307.38, 5622.07, 5319.61, 5319.61, 26.4791, 1.1374
5.40, 300, 307.54, 5651.93, 5344.49, 5344.49, 26.5129, 1.1385
5.40, 350, 307.67, 5677.08, 5365.39, 5365.39, 26.5413, 1.1395
5.40, 400, 307.79, 5698.77, 5383.37, 5383.37, 26.5658, 1.1403
5.40, 450, 307.88, 5717.85, 5399.15, 5399.15, 26.5872, 1.1410
5.40, 500, 307.97, 5734.85, 5413.19, 5413.19, 26.6063, 1.1417
5.40, 550, 308.05, 5750.18, 5425.82, 5425.82, 26.6235, 1.1423
5.40, 600, 308.11, 5764.14, 5437.31, 5437.31, 26.6391, 1.1428
5.40, 650, 308.18, 5776.94, 5447.82, 5447.82, 26.6535, 1.1433
5.40, 700, 308.23, 5788.76, 5457.52, 5457.52, 26.6667, 1.1438
5.40, 750, 308.29, 5799.73, 5466.51, 5466.51, 26.6789, 1.1442
5.40, 800, 308.33, 5809.97, 5474.89, 5474.89, 26.6903, 1.1446
5.40, 850, 308.38, 5819.57, 5482.73, 5482.73, 26.7010, 1.1450
5.40, 900, 308.42, 5828.60, 5490.10, 5490.10, 26.7111, 1.1454
5.40, 950, 308.46, 5837.12, 5497.05, 5497.05, 26.7205, 1.1457
5.40, 1000, 308.50, 5845.18, 5503.62, 5503.62, 26.7295, 1.1460
5.50, 100, 306.68, 5468.70, 5190.80, 5190.80, 26.3836, 1.1318
5.50, 150, 307.11, 5536.03, 5247.69, 5247.69, 26.4608, 1.1342
5.50, 200, 307.40, 5583.56, 5287.66, 5287.66, 26.5152, 1.1359
5.50, 250, 307.61, 5620.26, 5318.40, 5318.40, 26.5570, 1.1372
5.50, 300, 307.79, 5650.12, 5343.33, 5343.33, 26.5910, 1.1383
5.50, 350, 307.93, 5675.27, 5364.27, 5364.27, 26.6196, 1.1392
5.50, 400, 308.05, 5696.97, 5382.30, 5382.30, 26.6442, 1.1400
5.50, 450, 308.15, 5716.05, 5398.12, 5398.12, 26.6658, 1.1407
5.50, 500, 308.24, 5733.06, 5412.21, 5412.21, 26.6850, 1.1414
5.50, 550, 308.32, 5748.41, 5424.88, 5424.88, 26.7024, 1.1420
5.50, 600, 308.39, 5762.37, 5436.41, 5436.41, 26.7181, 1.1425
5.50, 650, 308.46, 5775.19, 5446.96, 5446.96, 26.7325, 1.1430
5.50, 700, 308.52, 5787.02, 5456.70, 5456.70, 26.7459, 1.1434
5.50, 750, 308.58, 5798.01, 5465.73, 5465.73, 26.7582, 1.1438
5.50, 800, 308.63, 5808.26, 5474.14, 5474.14, 26.7697, 1.1442
5.50, 850, 308.68, 5817.87, 5482.02, 5482.02, 26.7805, 1.1446
5.50, 900, 308.72, 5826.91, 5489.43, 5489.43, 26.7906, 1.1450
5.50, 950, 308.76, 5835.44, 5496.41, 5496.41, 26.8002, 1.1453
5.50, 1000, 308.80, 5843.52, 5503.01, 5503.01, 26.8092, 1.1456
5.60, 100, 306.77, 5466.29, 5188.58, 5188.58, 26.4575, 1.1317
5.60, 150, 307.22, 5533.51, 5245.42, 5245.42, 26.5350, 1.1341
5.60, 200, 307.53, 5580.97, 5285.36, 5285.36, 26.5895, 1.1358
5.60, 250, 307.76, 5617.62, 5316.08, 5316.08, 26.6315, 1.1371
5.60, 300, 307.94, 5647.44, 5341.00, 5341.00, 26.6656, 1.1382
5.60, 350, 308.09, 5672.56, 5361.94, 5361.94, 26.6942, 1.1391
5.60, 400, 308.22, 5694.24, 5379.98, 5379.98, 26.7189, 1.1399
5.60, 450, 308.33, 5713.30, 5395.80, 5395.80, 26.7406, 1.1406
5.60, 500, 308.42, 5730.29, 5409.88, 5409.88, 26.7599, 1.1412
5.60, 550, 308.51, 5745.62, 5422.57, 5422.57, 26.7773, 1.1418
5.60, 600, 308.59, 5759.58, 5434.10, 5434.10, 26.7932, 1.1423
5.60, 650, 308.66, 5772.38, 5444.66, 5444.66, 26.8077, 1.1428
5.60, 700, 308.72, 5784.20, 5454.40, 5454.40, 26.8210, 1.1432
5.60, 750, 308.78, 5795.18, 5463.44, 5463.44, 26.8335, 1.1437
5.60, 800, 308.84, 5805.43, 5471.86, 5471.86, 26.8450, 1.1441
5.60, 850, 308.89, 5815.03, 5479.75, 5479.75, 26.8559, 1.1444
5.60, 900, 308.93, 5824.07, 5487.17, 5487.17, 26.8661, 1.1448
5.60, 950, 308.98, 5832.60, 5494.16, 5494.16, 26.8757, 1.1451
5.60, 1000, 309.02, 5840.67, 5500.77, 5500.77, 26.8848, 1.1454
5.70, 100, 306.71, 5463.30, 5185.60, 5185.60, 26.5286, 1.1317
5.70, 150, 307.19, 5530.35, 5242.30, 5242.30, 26.6061, 1.1341
5.70, 200, 307.51, 5577.70, 5282.14, 5282.14, 26.6607, 1.1358
5.70, 250, 307.76, 5614.26, 5312.79, 5312.79, 26.7027, 1.1371
5.70, 300, 307.95, 5644.00, 5337.66, 5337.66, 26.7368, 1.1382
5.70, 350, 308.11, 5669.06, 5358.55, 5358.55, 26.7655, 1.1391
5.70, 400, 308.24, 5690.69, 5376.55, 5376.55, 26.7903, 1.1399
5.70, 450, 308.36, 5709.70, 5392.34, 5392.34, 26.8120, 1.1406
5.70, 500, 308.46, 5726.65, 5406.39, 5406.39, 26.8313, 1.1412
5.70, 550, 308.55, 5741.95, 5419.05, 5419.05, 26.8488, 1.1418
5.70, 600, 308.64, 5755.87, 5430.56, 5430.56, 26.8646, 1.1423
5.70, 650, 308.71, 5768.64, 5441.10, 5441.10, 26.8792, 1.1428
5.70, 700, 308.78, 5780.44, 5450.82, 5450.82, 26.8926, 1.1432
5.70, 750, 308.84, 5791.39, 5459.84, 5459.84, 26.9050, 1.1436
5.70, 800, 308.90, 5801.62, 5468.25, 5468.25, 26.9166, 1.1440
5.70, 850, 308.96, 5811.20, 5476.13, 5476.13, 26.9275, 1.1444
5.70, 900, 309.01, 5820.21, 5483.53, 5483.53, 26.9377, 1.1447
5.70, 950, 309.05, 5828.72, 5490.50, 5490.50, 26.9473, 1.1450
5.70, 1000, 309.10, 5836.78, 5497.11, 5497.11, 26.9564, 1.1454
5.80, 100, 306.10, 5459.79, 5181.95, 5181.95, 26.5968, 1.1318
5.80, 150, 306.58, 5526.63, 5238.44, 5238.44, 26.6743, 1.1342
5.80, 200, 306.90, 5573.81, 5278.13, 5278.13, 26.7289, 1.1358
5.80, 250, 307.14, 5610.25, 5308.66, 5308.66, 26.7709, 1.1372
5.80, 300, 307.33, 5639.89, 5333.43, 5333.43, 26.8050, 1.1382
5.80, 350, 307.49, 5664.86, 5354.24, 5354.24, 26.8337, 1.1391
5.80, 400, 307.62, 5686.41, 5372.16, 5372.16, 26.8584, 1.1399
5.80, 450, 307.74, 5705.35, 5387.88, 5387.88, 26.8801, 1.1406
5.80, 500, 307.84, 5722.25, 5401.88, 5401.88, 26.8995, 1.1413
5.80, 550, 307.93, 5737.48, 5414.48, 5414.48, 26.9169, 1.1418
5.80, 600, 308.01, 5751.35, 5425.94, 5425.94, 26.9327, 1.1424
5.80, 650, 308.08, 5764.08, 5436.44, 5436.44, 26.9473, 1.1428
5.80, 700, 308.15, 5775.83, 5446.12, 5446.12, 26.9607, 1.1433
5.80, 750, 308.22, 5786.75, 5455.11, 5455.11, 26.9731, 1.1437
5.80, 800, 308.27, 5796.93, 5463.48, 5463.48, 26.9847, 1.1441
5.80, 850, 308.33, 5806.48, 5471.32, 5471.32, 26.9956, 1.1445
5.80, 900, 308.38, 5815.46, 5478.69, 5478.69, 27.0058, 1.1448
5.80, 950, 308.42, 5823.94, 5485.63, 5485.63, 27.0154, 1.1451
5.80, 1000, 308.47, 5831.97, 5492.21, 5492.21, 27.0245, 1.1454
5.90, 100, 305.27, 5455.82, 5177.70, 5177.70, 26.6625, 1.1320
5.90, 150, 305.73, 5522.39, 5233.91, 5233.91, 26.7399, 1.1343
5.90, 200, 306.04, 5569.38, 5273.40, 5273.40, 26.7943, 1.1360
5.90, 250, 306.27, 5605.66, 5303.77, 5303.77, 26.8362, 1.1373
5.90, 300, 306.45, 5635.18, 5328.41, 5328.41, 26.8703, 1.1384
5.90, 350, 306.60, 5660.03, 5349.10, 5349.10, 26.8989, 1.1393
5.90, 400, 306.73, 5681.49, 5366.92, 5366.92, 26.9236, 1.1401
5.90, 450, 306.84, 5700.34, 5382.56, 5382.56, 26.9452, 1.1408
5.90, 500, 306.94, 5717.16, 5396.47, 5396.47, 26.9645, 1.1415
5.90, 550, 307.02, 5732.33, 5409.00, 5409.00, 26.9819, 1.1420
5.90, 600, 307.10, 5746.13, 5420.39, 5420.39, 26.9977, 1.1426
5.90, 650, 307.17, 5758.80, 5430.82, 5430.82, 27.0122, 1.1430
5.90, 700, 307.24, 5770.49, 5440.44, 5440.44, 27.0256, 1.1435
5.90, 750, 307.30, 5781.35, 5449.37, 5449.37, 27.0380, 1.1439
5.90, 800, 307.35, 5791.49, 5457.69, 5457.69, 27.0496, 1.1443
5.90, 850, 307.41, 5800.99, 5465.48, 5465.48, 27.0604, 1.1447
5.90, 900, 307.45, 5809.92, 5472.80, 5472.80, 27.0706, 1.1450
5.90, 950, 307.50, 5818.36, 5479.70, 5479.70, 27.0802, 1.1453
5.90, 1000, 307.54, 5826.34, 5486.23, 5486.23, 27.0893, 1.1456
6.00, 100, 304.42, 5451.44, 5172.92, 5172.92, 26.7258, 1.1321
6.00, 150, 304.85, 5517.71, 5228.81, 5228.81, 26.8029, 1.1345
6.00, 200, 305.15, 5564.47, 5268.06, 5268.06, 26.8571, 1.1362
6.00, 250, 305.37, 5600.57, 5298.23, 5298.23, 26.8989, 1.1375
6.00, 300, 305.55, 5629.93, 5322.70, 5322.70, 26.9329, 1.1386
6.00, 350, 305.69, 5654.66, 5343.25, 5343.25, 26.9614, 1.1396
6.00, 400, 305.81, 5676.00, 5360.95, 5360.95, 26.9860, 1.1404
6.00, 450, 305.92, 5694.75, 5376.47, 5376.47, 27.0076, 1.1411
6.00, 500, 306.01, 5711.47, 5390.28, 5390.28, 27.0268, 1.1417
6.00, 550, 306.10, 5726.55, 5402.71, 5402.71, 27.0441, 1.1423
6.00, 600, 306.17, 5740.28, 5414.01, 5414.01, 27.0598, 1.1428
6.00, 650, 306.24, 5752.87, 5424.36, 5424.36, 27.0742, 1.1433
6.00, 700, 306.30, 5764.50, 5433.91, 5433.91, 27.0876, 1.1438
6.00, 750, 306.36, 5775.29, 5442.76, 5442.76, 27.0999, 1.1442
6.00, 800, 306.41, 5785.37, 5451.01, 5451.01, 27.1114, 1.1446
6.00, 850, 306.46, 5794.81, 5458.74, 5458.74, 27.1222, 1.1450
6.00, 900, 306.51, 5803.69, 5465.99, 5465.99, 27.1323, 1.1453
6.00, 950, 306.55, 5812.07, 5472.84, 5472.84, 27.1419, 1.1456
6.00, 1000, 306.59, 5820.01, 5479.31, 5479.31, 27.1509, 1.1459
